iter	Logloss
0	0.683360223
1	0.6741183853
2	0.6649954088
3	0.6570545146
4	0.6474561282
5	0.6393103295
6	0.6311704
7	0.6241856056
8	0.6169694107
9	0.609807822
10	0.6036824912
11	0.5969044247
12	0.5902752184
13	0.5840535905
14	0.5782119946
15	0.5726470944
16	0.5673171348
17	0.5622577711
18	0.5578847003
19	0.5531013678
20	0.5485019961
21	0.5440542513
22	0.5396072402
23	0.5355210074
24	0.5314914073
25	0.5275610344
26	0.5237249793
27	0.52017884
28	0.5171277288
29	0.5139681849
30	0.5108965371
31	0.5077789565
32	0.5048700019
33	0.5022785235
34	0.4992727778
35	0.4964886953
36	0.4942290029
37	0.4918837403
38	0.4896806892
39	0.4872912442
40	0.4853306204
41	0.4828907508
42	0.4808582678
43	0.4791224685
44	0.4772060805
45	0.4751928434
46	0.4734799417
47	0.4718019629
48	0.4701953629
49	0.468662275
50	0.467195299
51	0.4659735442
52	0.4645584641
53	0.4631564791
54	0.4619249944
55	0.4604527251
56	0.459440062
57	0.4581777847
58	0.456952396
59	0.4557378004
60	0.4545569355
61	0.4534042681
62	0.4522734755
63	0.4511722063
64	0.4501205444
65	0.4491307382
66	0.4482595578
67	0.4473476064
68	0.4464300197
69	0.4455892364
70	0.4448253726
71	0.4442474581
72	0.4434665246
73	0.4426707782
74	0.4419340571
75	0.4412868772
76	0.4405128924
77	0.4399636291
78	0.4392896071
79	0.438624701
80	0.4380102259
81	0.4373203614
82	0.4366625157
83	0.4360241138
84	0.4354457633
85	0.4349059299
86	0.4344659636
87	0.4340343136
88	0.4336554101
89	0.4331209425
90	0.4327217787
91	0.4322588252
92	0.4318646273
93	0.4314511255
94	0.430872862
95	0.4304583035
96	0.4301667236
97	0.4297495399
98	0.4293144909
99	0.4290041069
100	0.4285795784
101	0.4281953367
102	0.4278314538
103	0.4275382824
104	0.4271595375
105	0.426781343
106	0.4264398544
107	0.4260807551
108	0.4257291928
109	0.4254082934
110	0.4250838815
111	0.4248429789
112	0.4245229118
113	0.4243056362
114	0.4240799927
115	0.4238264897
116	0.4235214804
117	0.4231825632
118	0.4229425346
119	0.4227050155
120	0.4224816095
121	0.4221981778
122	0.4219964803
123	0.4217841042
124	0.4215332041
125	0.4212979062
126	0.4211091311
127	0.4209066883
128	0.4206816127
129	0.4205041363
130	0.4203625331
131	0.4201880072
132	0.4200022037
133	0.4197688012
134	0.4195802866
135	0.419451606
136	0.4192849336
137	0.4191123178
138	0.4189209984
139	0.4187463064
140	0.4185335764
141	0.4183705161
142	0.4182210964
143	0.4180738473
144	0.4179370853
145	0.4177373043
146	0.4176259074
147	0.4174877036
148	0.4173524291
149	0.4171894996
150	0.4170717539
151	0.4169626011
152	0.4168581161
153	0.4166973988
154	0.4165869232
155	0.4164585037
156	0.4163382083
157	0.4162756234
158	0.4161180813
159	0.4160174789
160	0.4159343793
161	0.4158250133
162	0.4157383168
163	0.4156567007
164	0.4155459298
165	0.4154596088
166	0.4154125853
167	0.415298926
168	0.4152291441
169	0.415136968
170	0.4150455413
171	0.4149834621
172	0.4148944348
173	0.4147893106
174	0.4147057788
175	0.414616637
176	0.4145490871
177	0.4144409296
178	0.4143596772
179	0.4143058523
180	0.4142183349
181	0.4141692511
182	0.4141048657
183	0.4140425473
184	0.4139812645
185	0.4139142258
186	0.4138140309
187	0.4137575206
188	0.4136915024
189	0.4136437767
190	0.4135880417
191	0.4135206081
192	0.4134597316
193	0.4134340358
194	0.4133874819
195	0.4133249091
196	0.4132687161
197	0.4132177174
198	0.4131695864
199	0.4131041199
200	0.4130590491
201	0.4130491742
202	0.4129695523
203	0.4129232014
204	0.4128844646
205	0.4128520818
206	0.4127939801
207	0.4127856776
208	0.4127397225
209	0.4127028694
210	0.4126731721
211	0.4126447708
212	0.4126156618
213	0.4125808648
214	0.4125377098
215	0.4125134409
216	0.4124831817
217	0.4124427324
218	0.4124066187
219	0.4123780145
220	0.4123419681
221	0.4122950244
222	0.4122430949
223	0.4122361405
224	0.412186178
225	0.4121505948
226	0.4121246452
227	0.4120922474
228	0.4120738748
229	0.4120579433
230	0.4120213876
231	0.4120188311
232	0.4119751038
233	0.4119588183
234	0.4119431421
235	0.4119138463
236	0.4118918154
237	0.4118604795
238	0.4118481025
239	0.4117966782
240	0.4117689022
241	0.4117542096
242	0.4117362592
243	0.4117200938
244	0.4116887062
245	0.4116886843
246	0.411638447
247	0.4116308789
248	0.4115955099
249	0.4115735413
250	0.4115354815
251	0.4115243069
252	0.4114868095
253	0.4114864652
254	0.4114649551
255	0.4114371948
256	0.4114305739
257	0.4114218401
258	0.4113887819
259	0.4113640661
260	0.4113433785
261	0.4113236272
262	0.4113140037
263	0.4112780052
264	0.4112712338
265	0.4112463568
266	0.411227012
267	0.411241432
268	0.4111986367
269	0.4111982145
270	0.4111768553
271	0.4111589469
272	0.4111601065
273	0.4111242643
274	0.4111415052
275	0.4111146871
276	0.4111085714
277	0.4110965543
278	0.4110860045
279	0.4110410029
280	0.4110336944
281	0.4110114614
282	0.4109973157
283	0.4110013536
284	0.410980145
285	0.4109621066
286	0.410973878
287	0.4109575623
288	0.4109239372
289	0.4109405278
290	0.4109083338
291	0.4108863819
292	0.4108970657
293	0.4108807134
294	0.4108491753
295	0.4108683054
296	0.4108506885
297	0.4108506412
298	0.4108495478
299	0.410845155
300	0.410820096
301	0.4108031453
302	0.4108220519
303	0.4107966443
304	0.4107861625
305	0.410775764
306	0.4107872285
307	0.4107713032
308	0.4107550967
309	0.4107690278
310	0.4107419238
311	0.4107206797
312	0.4106927795
313	0.4106896668
314	0.4106959478
315	0.4106745528
316	0.4106474902
317	0.4106481195
318	0.4106620092
319	0.4106437836
320	0.4106202394
321	0.4106257868
322	0.4106250734
323	0.4106199209
324	0.4105941805
325	0.4105613311
326	0.4105781768
327	0.410593071
328	0.410553659
329	0.4105652953
330	0.4105447175
331	0.410547642
332	0.4105700875
333	0.4105279017
334	0.4105237694
335	0.4105264128
336	0.4105266883
337	0.4105260219
338	0.4104956289
339	0.4104973409
340	0.4104684675
341	0.4104822219
342	0.4104743216
343	0.410475945
344	0.4104525674
345	0.4104252294
346	0.410450126
347	0.4104460664
348	0.4104569481
349	0.4104216788
350	0.4104142361
351	0.4103848528
352	0.4104047484
353	0.4104055235
354	0.4104081097
355	0.4104059445
356	0.41037742
357	0.4103524239
358	0.4103745468
359	0.4103509558
360	0.4103526934
361	0.4103477956
362	0.410315243
363	0.410324959
364	0.4102943684
365	0.410316075
366	0.4103043341
367	0.410320545
368	0.4103061811
369	0.4102797643
370	0.4102882781
371	0.410256225
372	0.4102705052
373	0.4102688137
374	0.4102735389
375	0.4102668565
376	0.4102309576
377	0.410238108
378	0.4102088445
379	0.4102175145
380	0.4102275584
381	0.4102247584
382	0.4102287342
383	0.4102283386
384	0.4101911126
385	0.4102082447
386	0.4101751665
387	0.4101806878
388	0.4101933703
389	0.4101847624
390	0.4101990582
391	0.4101763677
392	0.4101786314
393	0.4101358629
394	0.4101429041
395	0.410130674
396	0.4101186261
397	0.4101166119
398	0.4101302625
399	0.4101297419
400	0.41012358
401	0.4101110897
402	0.4101097001
403	0.410066437
404	0.4100782297
405	0.4100646257
406	0.4100573917
407	0.4100598064
408	0.410073967
409	0.4100616223
410	0.410072218
411	0.4100473834
412	0.4100588586
413	0.4100398733
414	0.4100136024
415	0.4100254262
416	0.4100154966
417	0.4100088194
418	0.4100154494
419	0.4100229018
420	0.4100281111
421	0.4100314416
422	0.4100243689
423	0.410026362
424	0.4100346054
425	0.4099973845
426	0.4100059608
427	0.4099551672
428	0.4099644982
429	0.4099732412
430	0.4099511855
431	0.4099586171
432	0.4099741881
433	0.4099698372
434	0.4099600375
435	0.4099487235
436	0.4099427853
437	0.4099355305
438	0.4099275628
439	0.409932439
440	0.4099040863
441	0.4098943802
442	0.4098941979
443	0.4098893996
444	0.4098714138
445	0.409865871
446	0.4098718454
447	0.4098752281
448	0.409877596
449	0.4098690766
450	0.4098629667
451	0.4098636844
452	0.409862857
453	0.409835238
454	0.409826167
455	0.4098319437
456	0.4098216444
457	0.409795821
458	0.4097793234
459	0.4097834503
460	0.4097894039
461	0.40977147
462	0.409752308
463	0.409743268
464	0.4097365545
465	0.4097301012
466	0.4097370593
467	0.4097197239
468	0.4097152843
469	0.4097148731
470	0.4097097782
471	0.40970804
472	0.4096725885
473	0.4096741499
474	0.4096708919
475	0.409667332
476	0.40966435
477	0.4096410349
478	0.4096100437
479	0.40961301
480	0.4096192601
481	0.4096258069
482	0.4096105586
483	0.4095850214
484	0.4095717556
485	0.4095719377
486	0.4095770118
487	0.409566931
488	0.4095701784
489	0.4095604517
490	0.4095548676
491	0.4095557574
492	0.4095567252
493	0.4095498037
494	0.409543491
495	0.4095197438
496	0.4095232255
497	0.4095260514
498	0.4095256715
499	0.4095246357
500	0.4095279352
501	0.4095144458
502	0.4094772303
503	0.4094774748
504	0.409479697
505	0.409491141
506	0.4094866705
507	0.4094664415
508	0.4094662856
509	0.4094465821
510	0.409447826
511	0.4094401341
512	0.4094404775
513	0.4094395667
514	0.4094299545
515	0.4094201289
516	0.4094284868
517	0.4094191244
518	0.4094126346
519	0.4094088042
520	0.4094030432
521	0.4094098553
522	0.4094010753
523	0.4093875651
524	0.4093837192
525	0.4093720357
526	0.4093592385
527	0.4093556527
528	0.4093332017
529	0.4093388483
530	0.4093361991
531	0.4093357984
532	0.40933495
533	0.4093150491
534	0.4093110313
535	0.4093043491
536	0.4092893349
537	0.4092887571
538	0.4092423771
539	0.4092440945
540	0.4092493664
541	0.4092451613
542	0.4092432304
543	0.4092262386
544	0.4092371727
545	0.4092311566
546	0.4092243233
547	0.4092276332
548	0.4092295951
549	0.4092306152
550	0.4092163242
551	0.4092209925
552	0.409215528
553	0.4092133006
554	0.4092018824
555	0.4091902353
556	0.4091971726
557	0.4091949709
558	0.4091909636
559	0.4091982181
560	0.4091960584
561	0.4091950853
562	0.4091946585
563	0.4091893501
564	0.4091882208
565	0.4091859621
566	0.4091873725
567	0.4091834121
