iter	Passed	Remaining
0	189	283720
1	231	173091
2	261	130435
3	295	110476
4	330	98922
5	370	92341
6	441	94169
7	521	97243
8	627	103886
9	689	102760
10	789	106807
11	1047	129888
12	1167	133593
13	1337	141995
14	1458	144377
15	1547	143485
16	1652	144149
17	1718	141500
18	1808	140961
19	1951	144427
20	2216	156132
21	2306	154961
22	2417	155261
23	2584	158952
24	2701	159377
25	2840	161058
26	2980	162627
27	3084	162180
28	3406	172786
29	3596	176207
30	3785	179380
31	3913	179509
32	3965	176289
33	4019	173304
34	4073	170521
35	4125	167786
36	4192	165758
37	4285	164893
38	4359	163319
39	4492	163992
40	4675	166390
41	4840	168018
42	4936	167252
43	4992	165221
44	5037	162869
45	5101	161242
46	5149	159184
47	5198	157246
48	5240	155169
49	5274	152967
50	5319	151137
51	5365	149405
52	5413	147796
53	5453	146024
54	5520	145033
55	5574	143750
56	5635	142664
57	5682	141285
58	5732	140010
59	5769	138463
60	5818	137265
61	5861	135937
62	5902	134626
63	5940	133298
64	5989	132229
65	6037	131186
66	6092	130302
67	6138	129265
68	6178	128141
69	6221	127106
70	6279	126389
71	6328	125525
72	6376	124653
73	6418	123681
74	6452	122600
75	6488	121574
76	6528	120649
77	6570	119779
78	6609	118889
79	6647	117992
80	6685	117113
81	6721	116225
82	6759	115401
83	6790	114474
84	6829	113689
85	6878	113094
86	6916	112329
87	6957	111633
88	6994	110895
89	7029	110127
90	7064	109384
91	7097	108626
92	7144	108095
93	7186	107486
94	7224	106845
95	7268	106296
96	7304	105653
97	7340	105014
98	7381	104460
99	7425	103959
100	7467	103439
101	7504	102850
102	7540	102277
103	7581	101768
104	7629	101362
105	7673	100913
106	7715	100445
107	7759	100009
108	7800	99551
109	7839	99059
110	7879	98605
111	7919	98143
112	7963	97747
113	8011	97400
114	8053	96995
115	8091	96544
116	8131	96124
117	8182	95833
118	8219	95392
119	8253	94912
120	8290	94480
121	8325	94039
122	8362	93621
123	8393	93139
124	8420	92623
125	8460	92260
126	8506	91965
127	8540	91545
128	8588	91272
129	8631	90965
130	8666	90563
131	8711	90280
132	8750	89936
133	8788	89590
134	8830	89287
135	8874	89003
136	8918	88728
137	8959	88428
138	9001	88140
139	9043	87854
140	9091	87625
141	9136	87379
142	9186	87172
143	9221	86840
144	9255	86488
145	9293	86190
146	9332	85901
147	9376	85658
148	9419	85411
149	9458	85126
150	9489	84781
151	9519	84421
152	9548	84067
153	9588	83803
154	9629	83560
155	9672	83328
156	9710	83064
157	9750	82818
158	9787	82544
159	9814	82199
160	9852	81943
161	9880	81605
162	9911	81299
163	9949	81048
164	9977	80724
165	10004	80397
166	10032	80082
167	10063	79788
168	10093	79492
169	10142	79348
170	10179	79113
171	10221	78919
172	10257	78684
173	10294	78453
174	10329	78207
175	10360	77939
176	10408	77799
177	10451	77619
178	10490	77420
179	10528	77209
180	10561	76967
181	10592	76706
182	10637	76557
183	10673	76335
184	10714	76161
185	10759	76007
186	10798	75819
187	10840	75650
188	10887	75520
189	10924	75321
190	10965	75151
191	11005	74976
192	11054	74860
193	11091	74669
194	11144	74581
195	11180	74386
196	11215	74183
197	11253	74001
198	11288	73803
199	11319	73576
200	11368	73468
201	11408	73307
202	11440	73093
203	11475	72901
204	11513	72734
205	11549	72549
206	11600	72461
207	11638	72290
208	11684	72173
209	11718	71982
210	11750	71781
211	11787	71615
212	11833	71503
213	11882	71404
214	11920	71243
215	11955	71071
216	12004	70975
217	12050	70866
218	12097	70761
219	12144	70659
220	12183	70507
221	12219	70344
222	12267	70249
223	12311	70132
224	12362	70053
225	12408	69948
226	12450	69823
227	12489	69675
228	12536	69581
229	12584	69485
230	12636	69418
231	12669	69247
232	12707	69099
233	12755	69011
234	12802	68916
235	12855	68851
236	12889	68688
237	12927	68549
238	12973	68449
239	13018	68348
240	13059	68221
241	13107	68138
242	13153	68042
243	13190	67898
244	13235	67799
245	13267	67631
246	13297	67456
247	13331	67302
248	13364	67144
249	13397	66988
250	13440	66881
251	13485	66784
252	13517	66626
253	13556	66502
254	13593	66370
255	13633	66252
256	13668	66106
257	13712	66013
258	13760	65933
259	13805	65842
260	13854	65768
261	13893	65647
262	13940	65567
263	13986	65484
264	14033	65402
265	14074	65293
266	14124	65227
267	14161	65100
268	14200	64982
269	14242	64882
270	14281	64768
271	14314	64625
272	14355	64520
273	14385	64367
274	14418	64228
275	14452	64092
276	14501	64025
277	14541	63919
278	14587	63841
279	14628	63738
280	14669	63639
281	14704	63512
282	14756	63457
283	14801	63375
284	14848	63302
285	14889	63200
286	14931	63109
287	14971	63003
288	15011	62904
289	15067	62866
290	15114	62796
291	15161	62721
292	15201	62621
293	15230	62476
294	15261	62339
295	15292	62204
296	15324	62070
297	15376	62021
298	15403	61871
299	15439	61756
300	15480	61663
301	15517	61556
302	15560	61469
303	15606	61397
304	15642	61287
305	15682	61193
306	15723	61100
307	15761	60997
308	15799	60896
309	15848	60837
310	15889	60748
311	15931	60662
312	15969	60562
313	16012	60479
314	16057	60405
315	16107	60351
316	16142	60241
317	16184	60157
318	16215	60031
319	16250	59925
320	16284	59812
321	16324	59719
322	16366	59637
323	16407	59553
324	16448	59469
325	16485	59368
326	16522	59269
327	16560	59173
328	16607	59110
329	16643	59010
330	16691	58948
331	16738	58888
332	16776	58792
333	16815	58703
334	16853	58609
335	16896	58533
336	16937	58452
337	16980	58375
338	17024	58306
339	17063	58217
340	17101	58125
341	17137	58026
342	17181	57957
343	17217	57858
344	17259	57783
345	17297	57693
346	17337	57607
347	17373	57513
348	17418	57445
349	17462	57376
350	17503	57298
351	17540	57205
352	17570	57092
353	17605	56994
354	17636	56884
355	17671	56786
356	17709	56698
357	17748	56617
358	17784	56522
359	17820	56432
360	17858	56345
361	17890	56242
362	17929	56159
363	17974	56095
364	18012	56012
365	18038	55888
366	18074	55800
367	18118	55733
368	18162	55667
369	18200	55584
370	18251	55542
371	18287	55453
372	18333	55393
373	18369	55304
374	18406	55218
375	18441	55129
376	18486	55066
377	18521	54975
378	18564	54909
379	18602	54827
380	18635	54731
381	18667	54634
382	18710	54567
383	18745	54479
384	18781	54393
385	18819	54312
386	18857	54233
387	18893	54149
388	18920	54037
389	18962	53970
390	18999	53889
391	19031	53794
392	19073	53726
393	19113	53653
394	19145	53559
395	19186	53490
396	19228	53424
397	19277	53377
398	19332	53345
399	19384	53307
400	19426	53240
401	19484	53217
402	19536	53180
403	19615	53215
404	19663	53164
405	19699	53082
406	19737	53004
407	19773	52922
408	19811	52847
409	19849	52771
410	19890	52703
411	19920	52606
412	19968	52555
413	20008	52486
414	20045	52408
415	20082	52330
416	20131	52284
417	20178	52231
418	20218	52163
419	20259	52096
420	20296	52019
421	20347	51976
422	20390	51916
423	20429	51845
424	20474	51789
425	20510	51708
426	20541	51617
427	20568	51517
428	20611	51457
429	20645	51373
430	20673	51276
431	20707	51194
432	20729	51081
433	20755	50979
434	20778	50871
435	20806	50775
436	20837	50687
437	20865	50591
438	20893	50496
439	20930	50422
440	20959	50332
441	20985	50231
442	21010	50130
443	21040	50041
444	21081	49980
445	21110	49888
446	21139	49798
447	21170	49713
448	21197	49617
449	21227	49531
450	21258	49445
451	21298	49382
452	21338	49318
453	21366	49226
454	21402	49154
455	21439	49084
456	21466	48993
457	21494	48901
458	21525	48818
459	21561	48748
460	21599	48681
461	21636	48611
462	21671	48537
463	21704	48461
464	21746	48402
465	21789	48348
466	21819	48264
467	21852	48188
468	21888	48118
469	21925	48050
470	21959	47974
471	21995	47906
472	22037	47848
473	22085	47806
474	22117	47727
475	22148	47647
476	22170	47549
477	22198	47462
478	22223	47370
479	22264	47311
480	22293	47228
481	22318	47136
482	22344	47049
483	22371	46962
484	22402	46884
485	22432	46803
486	22456	46710
487	22481	46622
488	22508	46535
489	22543	46466
490	22576	46395
491	22610	46324
492	22646	46257
493	22671	46169
494	22703	46094
495	22734	46019
496	22761	45935
497	22798	45872
498	22835	45807
499	22874	45749
500	22907	45677
501	22944	45615
502	22979	45547
503	23009	45472
504	23045	45407
505	23090	45359
506	23128	45298
507	23160	45226
508	23198	45166
509	23233	45100
510	23273	45044
511	23313	44987
512	23353	44931
513	23387	44863
514	23429	44812
515	23469	44755
516	23505	44691
517	23538	44623
518	23572	44555
519	23601	44479
520	23633	44408
521	23671	44350
522	23706	44285
523	23749	44235
524	23790	44182
525	23820	44108
526	23850	44036
527	23889	43977
528	23916	43899
529	23944	43822
530	23974	43750
531	24003	43676
532	24034	43604
533	24064	43533
534	24093	43457
535	24118	43376
536	24158	43323
537	24191	43256
538	24225	43192
539	24254	43118
540	24282	43045
541	24311	42970
542	24346	42908
543	24371	42829
544	24405	42765
545	24441	42704
546	24477	42644
547	24504	42569
548	24541	42512
549	24570	42440
550	24607	42381
551	24643	42322
552	24681	42267
553	24722	42215
554	24759	42158
555	24800	42106
556	24833	42043
557	24870	41985
558	24907	41927
559	24946	41873
560	24981	41814
561	25020	41760
562	25064	41714
563	25108	41670
564	25145	41613
565	25187	41564
566	25218	41497
567	25262	41451
568	25302	41400
569	25345	41352
570	25380	41292
571	25414	41232
572	25444	41164
573	25484	41112
574	25527	41066
575	25566	41012
576	25595	40943
577	25633	40889
578	25664	40824
579	25700	40766
580	25733	40703
581	25771	40649
582	25816	40606
583	25860	40561
584	25893	40499
585	25933	40449
586	25964	40383
587	26002	40330
588	26040	40277
589	26082	40228
590	26123	40179
591	26158	40120
592	26197	40069
593	26233	40012
594	26271	39959
595	26312	39909
596	26357	39867
597	26396	39815
598	26432	39758
599	26465	39698
600	26500	39640
601	26537	39585
602	26570	39525
603	26607	39470
604	26643	39415
605	26677	39356
606	26715	39302
607	26753	39250
608	26788	39193
609	26828	39143
610	26860	39081
611	26894	39022
612	26924	38958
613	27009	38975
614	27106	39007
615	27144	38954
616	27182	38901
617	27230	38862
618	27273	38816
619	27331	38793
620	27396	38778
621	27431	38722
622	27474	38676
623	27512	38623
624	27547	38566
625	27581	38508
626	27614	38449
627	27658	38405
628	27705	38364
629	27746	38316
630	27793	38277
631	27838	38234
632	27890	38200
633	27978	38216
634	28041	38198
635	28074	38138
636	28136	38118
637	28197	38097
638	28246	38060
639	28278	37999
640	28314	37944
641	28347	37884
642	28382	37828
643	28417	37772
644	28464	37732
645	28494	37668
646	28531	37615
647	28580	37577
648	28626	37536
649	28666	37487
650	28713	37446
651	28747	37389
652	28795	37349
653	28837	37303
654	28889	37270
655	28936	37229
656	28984	37190
657	29050	37174
658	29110	37149
659	29153	37103
660	29211	37077
661	29267	37048
662	29308	36999
663	29359	36964
664	29414	36934
665	29471	36905
666	29522	36869
667	29587	36851
668	29643	36822
669	29685	36774
670	29754	36760
671	29799	36716
672	29840	36669
673	29886	36626
674	29926	36577
675	29973	36535
676	30018	36492
677	30045	36427
678	30087	36379
679	30123	36325
680	30166	36279
681	30211	36235
682	30251	36187
683	30294	36141
684	30331	36087
685	30372	36040
686	30421	36001
687	30464	35954
688	30511	35914
689	30544	35856
690	30581	35803
691	30612	35744
692	30661	35705
693	30700	35655
694	30743	35609
695	30781	35558
696	30820	35507
697	30862	35460
698	30912	35423
699	30939	35359
700	30987	35319
701	31028	35271
702	31064	35217
703	31100	35165
704	31142	35118
705	31184	35072
706	31226	35025
707	31261	34970
708	31293	34912
709	31326	34856
710	31376	34818
711	31425	34779
712	31467	34733
713	31503	34680
714	31536	34624
715	31578	34577
716	31618	34528
717	31652	34473
718	31691	34424
719	31729	34373
720	31761	34316
721	31792	34258
722	31840	34218
723	31872	34161
724	31909	34110
725	31946	34059
726	31983	34006
727	32017	33953
728	32055	33901
729	32088	33847
730	32128	33798
731	32173	33756
732	32207	33700
733	32238	33643
734	32274	33591
735	32304	33533
736	32338	33479
737	32380	33433
738	32425	33390
739	32464	33341
740	32508	33297
741	32540	33242
742	32574	33188
743	32618	33144
744	32652	33090
745	32688	33039
746	32725	32988
747	32763	32938
748	32799	32886
749	32838	32838
750	32880	32793
751	32923	32748
752	32958	32695
753	32995	32645
754	33026	32588
755	33060	32535
756	33099	32486
757	33143	32444
758	33188	32401
759	33228	32353
760	33262	32301
761	33298	32249
762	33333	32197
763	33381	32157
764	33420	32109
765	33446	32049
766	33481	31997
767	33512	31941
768	33541	31883
769	33574	31830
770	33607	31776
771	33645	31727
772	33691	31686
773	33722	31631
774	33759	31581
775	33795	31530
776	33826	31476
777	33860	31423
778	33889	31366
779	33938	31327
780	33978	31281
781	34013	31229
782	34053	31183
783	34082	31126
784	34117	31075
785	34157	31028
786	34198	30982
787	34238	30936
788	34277	30888
789	34312	30837
790	34349	30788
791	34387	30740
792	34429	30695
793	34468	30648
794	34500	30595
795	34540	30548
796	34577	30499
797	34615	30451
798	34650	30400
799	34677	30343
800	34711	30291
801	34756	30249
802	34787	30195
803	34825	30147
804	34863	30099
805	34897	30048
806	34938	30003
807	34975	29954
808	35016	29908
809	35055	29862
810	35091	29812
811	35126	29762
812	35170	29719
813	35209	29672
814	35249	29626
815	35290	29581
816	35325	29531
817	35365	29485
818	35414	29447
819	35449	29396
820	35498	29358
821	35535	29309
822	35578	29266
823	35626	29227
824	35671	29185
825	35712	29140
826	35742	29087
827	35791	29048
828	35827	28999
829	35873	28958
830	35924	28920
831	35969	28879
832	36023	28844
833	36072	28806
834	36122	28767
835	36185	28740
836	36235	28702
837	36282	28662
838	36326	28619
839	36361	28569
840	36406	28528
841	36453	28487
842	36498	28445
843	36547	28406
844	36587	28360
845	36625	28313
846	36676	28275
847	36718	28231
848	36770	28195
849	36817	28154
850	36868	28117
851	36907	28070
852	36948	28025
853	36989	27980
854	37025	27931
855	37058	27880
856	37093	27831
857	37124	27778
858	37159	27729
859	37202	27685
860	37232	27632
861	37268	27583
862	37303	27534
863	37344	27489
864	37389	27447
865	37430	27402
866	37477	27362
867	37518	27317
868	37558	27272
869	37608	27233
870	37646	27186
871	37687	27142
872	37724	27094
873	37757	27043
874	37789	26992
875	37819	26940
876	37858	26893
877	37902	26851
878	37941	26804
879	37981	26759
880	38017	26711
881	38053	26663
882	38091	26616
883	38127	26568
884	38164	26520
885	38203	26474
886	38244	26430
887	38281	26382
888	38313	26332
889	38355	26288
890	38396	26244
891	38432	26195
892	38475	26152
893	38504	26100
894	38542	26054
895	38590	26014
896	38627	25966
897	38660	25917
898	38700	25872
899	38734	25823
900	38769	25774
901	38813	25732
902	38851	25685
903	38891	25641
904	38936	25598
905	38977	25554
906	39004	25501
907	39032	25448
908	39070	25402
909	39111	25358
910	39156	25316
911	39206	25277
912	39241	25229
913	39280	25184
914	39321	25139
915	39350	25087
916	39400	25049
917	39437	25003
918	39474	24956
919	39515	24911
920	39556	24867
921	39590	24819
922	39637	24779
923	39673	24731
924	39707	24682
925	39739	24633
926	39776	24586
927	39818	24543
928	39852	24495
929	39887	24447
930	39923	24399
931	39960	24353
932	39994	24305
933	40018	24251
934	40050	24201
935	40097	24161
936	40136	24116
937	40172	24069
938	40212	24024
939	40241	23973
940	40269	23922
941	40302	23873
942	40335	23825
943	40389	23788
944	40423	23740
945	40470	23700
946	40508	23654
947	40548	23610
948	40582	23562
949	40621	23517
950	40660	23472
951	40696	23426
952	40737	23382
953	40776	23337
954	40811	23290
955	40850	23245
956	40885	23198
957	40920	23151
958	40957	23105
959	40983	23053
960	41028	23011
961	41072	22969
962	41110	22924
963	41142	22875
964	41188	22835
965	41221	22786
966	41258	22741
967	41299	22697
968	41333	22650
969	41371	22604
970	41412	22561
971	41447	22514
972	41491	22473
973	41529	22427
974	41559	22378
975	41596	22332
976	41627	22283
977	41662	22237
978	41691	22187
979	41728	22141
980	41769	22097
981	41805	22051
982	41847	22009
983	41876	21959
984	41913	21914
985	41950	21868
986	41991	21825
987	42028	21780
988	42066	21735
989	42105	21690
990	42134	21641
991	42170	21595
992	42217	21555
993	42252	21508
994	42289	21463
995	42329	21419
996	42373	21377
997	42408	21331
998	42452	21290
999	42490	21245
1000	42523	21197
1001	42562	21153
1002	42600	21109
1003	42631	21060
1004	42668	21015
1005	42704	20970
1006	42741	20925
1007	42786	20883
1008	42824	20839
1009	42862	20794
1010	42903	20751
1011	42933	20703
1012	42968	20657
1013	43000	20609
1014	43039	20565
1015	43079	20522
1016	43121	20479
1017	43162	20436
1018	43189	20386
1019	43222	20340
1020	43261	20295
1021	43303	20253
1022	43335	20206
1023	43381	20165
1024	43416	20119
1025	43449	20072
1026	43497	20033
1027	43527	19985
1028	43569	19942
1029	43606	19897
1030	43645	19854
1031	43674	19806
1032	43704	19757
1033	43742	19713
1034	43780	19669
1035	43821	19626
1036	43857	19581
1037	43895	19537
1038	43926	19490
1039	43965	19446
1040	44012	19406
1041	44049	19361
1042	44094	19320
1043	44138	19278
1044	44180	19236
1045	44221	19193
1046	44255	19148
1047	44295	19104
1048	44332	19060
1049	44371	19016
1050	44404	18970
1051	44449	18928
1052	44482	18882
1053	44519	18838
1054	44565	18797
1055	44602	18753
1056	44632	18705
1057	44671	18662
1058	44708	18618
1059	44738	18570
1060	44772	18525
1061	44807	18479
1062	44852	18438
1063	44895	18396
1064	44936	18354
1065	44976	18311
1066	45009	18265
1067	45049	18222
1068	45077	18174
1069	45110	18128
1070	45153	18086
1071	45197	18045
1072	45237	18002
1073	45281	17960
1074	45320	17917
1075	45361	17874
1076	45403	17832
1077	45437	17787
1078	45469	17741
1079	45506	17697
1080	45538	17650
1081	45571	17605
1082	45610	17561
1083	45647	17517
1084	45684	17473
1085	45720	17429
1086	45755	17384
1087	45798	17342
1088	45835	17298
1089	45866	17252
1090	45898	17206
1091	45937	17163
1092	45976	17120
1093	46010	17075
1094	46051	17032
1095	46084	16987
1096	46124	16944
1097	46152	16897
1098	46190	16853
1099	46228	16810
1100	46271	16768
1101	46309	16725
1102	46348	16682
1103	46379	16636
1104	46417	16592
1105	46449	16546
1106	46476	16499
1107	46519	16458
1108	46559	16415
1109	46593	16370
1110	46633	16328
1111	46667	16283
1112	46700	16238
1113	46747	16197
1114	46792	16157
1115	46821	16110
1116	46858	16067
1117	46893	16022
1118	46922	15976
1119	46959	15932
1120	46995	15888
1121	47035	15846
1122	47074	15803
1123	47111	15759
1124	47139	15713
1125	47176	15669
1126	47210	15625
1127	47244	15580
1128	47284	15538
1129	47327	15496
1130	47366	15453
1131	47399	15409
1132	47435	15365
1133	47466	15319
1134	47498	15274
1135	47542	15233
1136	47586	15192
1137	47631	15151
1138	47664	15107
1139	47708	15065
1140	47749	15023
1141	47785	14980
1142	47826	14937
1143	47870	14896
1144	47905	14852
1145	47936	14807
1146	47971	14763
1147	48009	14720
1148	48047	14677
1149	48078	14632
1150	48117	14589
1151	48158	14547
1152	48195	14504
1153	48234	14461
1154	48279	14421
1155	48318	14378
1156	48360	14336
1157	48403	14295
1158	48444	14253
1159	48486	14211
1160	48521	14167
1161	48563	14126
1162	48596	14081
1163	48631	14037
1164	48672	13995
1165	48712	13953
1166	48749	13910
1167	48789	13868
1168	48824	13824
1169	48855	13779
1170	48892	13736
1171	48943	13697
1172	48983	13655
1173	49028	13614
1174	49066	13571
1175	49104	13528
1176	49135	13484
1177	49176	13442
1178	49208	13397
1179	49252	13356
1180	49290	13313
1181	49324	13270
1182	49365	13228
1183	49410	13187
1184	49449	13144
1185	49486	13101
1186	49519	13057
1187	49549	13013
1188	49584	12969
1189	49623	12927
1190	49665	12885
1191	49692	12839
1192	49733	12798
1193	49760	12752
1194	49798	12710
1195	49838	12667
1196	49881	12626
1197	49925	12585
1198	49964	12543
1199	49998	12499
1200	50036	12457
1201	50070	12413
1202	50099	12368
1203	50127	12323
1204	50169	12282
1205	50212	12240
1206	50255	12199
1207	50290	12156
1208	50328	12113
1209	50361	12070
1210	50404	12028
1211	50439	11985
1212	50470	11941
1213	50504	11898
1214	50547	11856
1215	50575	11811
1216	50609	11768
1217	50639	11724
1218	50667	11679
1219	50697	11635
1220	50724	11590
1221	50764	11548
1222	50799	11505
1223	50834	11462
1224	50873	11420
1225	50921	11380
1226	50955	11337
1227	51000	11296
1228	51048	11256
1229	51096	11216
1230	51138	11174
1231	51178	11133
1232	51261	11100
1233	51363	11071
1234	51417	11032
1235	51459	10991
1236	51495	10948
1237	51528	10905
1238	51561	10861
1239	51605	10820
1240	51639	10777
1241	51679	10735
1242	51712	10692
1243	51746	10648
1244	51785	10606
1245	51825	10564
1246	51858	10521
1247	51906	10481
1248	51943	10438
1249	51975	10395
1250	52011	10352
1251	52041	10308
1252	52087	10267
1253	52148	10230
1254	52186	10187
1255	52212	10143
1256	52245	10099
1257	52272	10055
1258	52312	10013
1259	52344	9970
1260	52375	9926
1261	52411	9884
1262	52441	9840
1263	52477	9798
1264	52518	9756
1265	52552	9713
1266	52593	9671
1267	52641	9631
1268	52677	9589
1269	52708	9545
1270	52736	9501
1271	52773	9459
1272	52803	9415
1273	52834	9372
1274	52878	9331
1275	52908	9287
1276	52942	9245
1277	52978	9202
1278	53014	9160
1279	53043	9116
1280	53071	9073
1281	53115	9032
1282	53148	8989
1283	53186	8947
1284	53214	8903
1285	53250	8861
1286	53283	8818
1287	53314	8775
1288	53355	8733
1289	53380	8689
1290	53414	8647
1291	53449	8604
1292	53485	8562
1293	53517	8519
1294	53561	8478
1295	53595	8436
1296	53631	8394
1297	53671	8352
1298	53710	8310
1299	53748	8268
1300	53784	8226
1301	53819	8184
1302	53851	8141
1303	53882	8098
1304	53910	8055
1305	53942	8012
1306	53986	7971
1307	54023	7930
1308	54048	7886
1309	54087	7844
1310	54121	7802
1311	54155	7760
1312	54184	7717
1313	54228	7676
1314	54262	7633
1315	54304	7592
1316	54344	7551
1317	54379	7509
1318	54423	7468
1319	54455	7425
1320	54488	7383
1321	54525	7341
1322	54556	7298
1323	54590	7256
1324	54628	7215
1325	54669	7173
1326	54707	7132
1327	54741	7089
1328	54778	7048
1329	54809	7005
1330	54848	6964
